stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
41,0.5,2.0,46.83522809999704,,46.81912939999893,46.83522809999704,47.33521240000846,47.31845990000875,47.31845990000875,47.618350800010376,48.60216809999838,right,2.0,1,1,1.276146999996854,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
42,0.5,2.0,48.61833320000733,,48.60243260000425,48.61833320000733,49.11839800000598,49.101926100003766,49.101926100003766,49.401717800006736,49.76904410000134,left,-2.0,1,1,0.6660196000011638,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
43,0.5,2.0,49.78488770000695,,49.76932279999892,49.78488770000695,50.285037299996475,50.26826759999676,50.26826759999676,50.56823499999882,50.71881830001075,left,-2.0,1,1,0.4459064999973634,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
44,0.5,1.5,50.73484889999963,,50.719086800003424,50.73484889999963,51.23505630000727,51.21834740000486,51.21834740000486,51.518228600005386,52.018334400010644,left,-1.5,1,1,0.7990242000087164,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
45,0.5,1.5,52.034692600005656,,52.01852379999764,52.034692600005656,52.53505000000587,52.518334499996854,52.518334499996854,52.818204800001695,52.90195150001091,right,1.5,1,1,0.37495620000117924,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
46,0.5,1.5,52.91813450001064,,52.90217310001026,52.91813450001064,53.41817900000024,53.40149210000527,53.40149210000527,53.70151330000954,53.86869719999959,left,-1.5,1,1,0.45090179999533575,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
47,0.5,1.0,53.884619800010114,,53.8690687000053,53.884619800010114,54.38479599999846,54.368281800008845,54.368281800008845,54.66794260000461,54.951963100000285,left,-1.0,1,1,0.5728287999954773,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
48,0.5,1.0,54.96874830000161,,54.952245599997696,54.96874830000161,55.46822690000408,55.451393099996494,55.451393099996494,55.75145570001041,56.05202260000806,left,-1.0,1,1,0.589680999997654,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
49,0.5,1.0,56.067975800004206,,56.052370899997186,56.067975800004206,56.5680815000087,56.55141110000841,56.55141110000841,56.851407900001504,56.96873310000228,right,1.0,0,0,0.4160954999970272,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
50,0.5,1.5,56.98472269999911,,56.9690205000079,56.98472269999911,57.48459140000341,57.48459140000341,57.48459140000341,,57.73483470000792,right,1.5,1,1,0.23889449999842327,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
51,0.5,1.5,57.75112760000047,,57.73494229999778,57.75112760000047,58.251322099997196,58.23456560001068,58.23456560001068,58.5343947000074,61.00165070001094,right,1.5,0,0,2.7581842000072356,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
52,0.5,2.0,61.017734799999744,,61.001937100008945,61.017734799999744,61.517900899998494,61.50138600000355,61.50138600000355,61.80078780000622,62.11831469999743,left,-2.0,1,1,0.5997131000040099,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
53,0.5,2.0,62.13445280000451,,62.11859589999949,62.13445280000451,62.6342355000088,62.61747560001095,62.61747560001095,62.917396999997436,63.20117040000332,left,-2.0,1,1,0.5749091000034241,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
54,0.5,2.0,63.21760180000274,,63.201327200004016,63.21760180000274,63.71770190000825,63.70098609999695,63.70098609999695,64.0008283000061,64.10121100000106,right,2.0,1,1,0.38337630000023637,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
55,0.5,1.5,64.11737800000992,,64.10140660000616,64.11737800000992,64.61743440000282,64.60075979999965,64.60075979999965,64.90091229999962,65.06809280000743,left,-1.5,1,1,0.4527451000030851,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
56,0.5,1.5,65.08431190000556,,65.06838419999985,65.08431190000556,65.58432280000125,65.5676422000106,65.5676422000106,65.86751019999792,66.05147859999852,right,1.5,1,1,0.4723202000022866,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
57,0.5,1.5,66.0675298999995,,66.0517392000038,66.0675298999995,66.56756090000272,66.55094450000615,66.55094450000615,66.85066130000632,67.01757290000387,right,1.5,1,1,0.46489680001104716,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
58,0.5,1.0,67.0338885000092,,67.01774950000981,67.0338885000092,67.53406220000761,67.51744880000479,67.51744880000479,67.81745980000414,67.98466500001086,left,-1.0,1,1,0.4597146000014618,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
59,0.5,1.0,68.0008863999974,,67.98491120000836,68.0008863999974,68.50094710000849,68.48418830000446,68.48418830000446,68.78388230000564,68.91787730000215,right,1.0,1,1,0.42888370000582654,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
60,0.5,1.0,68.93382330000168,,68.91809570000623,68.93382330000168,69.43406460000551,69.41756870000972,69.41756870000972,69.71733700000914,69.90114110001014,right,1.0,0,0,0.4819469000067329,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
61,0.5,1.5,69.91730420000385,,69.90138870000374,69.91730420000385,70.41739339999913,70.40072420000797,70.40072420000797,70.70072380000784,71.2345667000045,right,1.5,1,1,0.8229810000048019,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
62,0.5,1.5,71.25069369999983,,71.23482820000208,71.25069369999983,71.75076380000974,71.73395310000342,71.73395310000342,72.03397940000286,72.21734889999789,left,-1.5,1,1,0.4708554999961052,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
63,0.5,1.5,72.23393329999817,,72.21752410000772,72.23393329999817,72.73398849999649,72.71719200001098,72.71719200001098,73.01698670000769,73.33446589999949,left,-1.5,1,1,0.6060278000077233,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
64,0.5,1.0,73.35059170000022,,73.33472320000874,73.35059170000022,73.85061190000852,73.8341092000046,73.8341092000046,74.13399119999667,74.2340802000108,right,1.0,1,1,0.3974043999915011,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
65,0.5,1.0,74.25019940000493,,74.23423060000641,74.25019940000493,74.75055940001039,74.73373320000246,74.73373320000246,75.03358220000518,75.4844468000083,right,1.0,1,1,0.7460554999997839,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
66,0.5,1.0,75.5004792999971,,75.48471200000495,75.5004792999971,76.00058269999863,75.98400959999708,75.98400959999708,76.28390740000759,76.950574100003,right,1.0,1,1,0.9547738999972353,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
67,0.5,1.0,76.96680680000281,,76.95081799999753,76.96680680000281,77.466926100009,77.45013789999939,77.45013789999939,77.75007090000145,78.13415209999948,right,1.0,1,1,0.6716388999921037,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
68,0.5,1.0,78.1502857000014,,78.13445389999833,78.1502857000014,78.6502271000063,78.6337222000002,78.6337222000002,78.93370439999853,79.15098030000809,right,1.0,1,1,0.5000676000054227,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
69,0.5,1.0,79.16686789999949,,79.15126690000761,79.16686789999949,79.66692820000753,79.65035300000454,79.65035300000454,79.95027040000423,80.25056980000227,right,1.0,1,1,0.5911104999977397,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
70,0.5,1.0,80.2664577000105,,80.25075000000652,80.2664577000105,80.7667963999993,80.7502819000074,80.7502819000074,81.04998150000756,81.30033710000862,left,-1.0,1,1,0.536929499998223,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
71,0.5,1.0,81.3166743000038,,81.30046330000914,81.3166743000038,81.81662820000201,81.79989520000527,81.79989520000527,82.10007970000152,82.41684710000118,right,1.0,1,1,0.6147068999998737,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
72,0.5,1.0,82.43330679999781,,82.41701270001067,82.43330679999781,82.93314039999677,82.91664470000251,82.91664470000251,83.21643549999862,83.45004389999667,right,1.0,1,1,0.5244558999984292,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
73,0.5,1.0,83.46672730000864,,83.45017380001082,83.46672730000864,83.96684860000096,83.95018410000193,83.95018410000193,84.24991710000904,84.45053550000011,left,-1.0,1,1,0.49342929999693297,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
74,0.5,1.0,84.4665260000038,,84.45076469999913,84.4665260000038,84.96669110000948,84.94996610000089,84.94996610000089,85.24960779999674,85.58382870000787,left,-1.0,1,1,0.631062500004191,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
75,0.5,1.0,85.59998050000286,,85.58411710000655,85.59998050000286,86.10006670000439,86.0834016000008,86.0834016000008,86.38299790000019,86.60008099999686,left,-1.0,1,1,0.5084682999877259,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
76,0.5,1.0,86.61622520000674,,86.6002448000072,86.61622520000674,87.11649860000762,87.10001950000878,87.10001950000878,87.39959030000318,87.75054110000201,left,-1.0,1,1,0.6374961999972584,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
77,0.5,1.0,87.76639960000466,,87.75094650000392,87.76639960000466,88.26600180000241,88.26600180000241,88.26600180000241,88.56636440000148,88.98360110000067,right,1.0,1,1,0.7146862000081455,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
78,0.5,1.0,88.99967380000453,,88.98384700001043,88.99967380000453,89.49992650000786,89.4831961000018,89.4831961000018,89.78265039999678,89.93358550000994,left,-1.0,1,1,0.4484928000019863,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
79,0.5,1.0,89.94974229999934,,89.93387439999788,89.94974229999934,90.44972760000383,90.43326479999814,90.43326479999814,90.73308089999773,90.86669120000442,right,1.0,1,1,0.4253746000031242,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
80,0.5,1.0,90.88283230000525,,90.86700700000802,90.88283230000525,91.38294789999782,91.36640210000041,91.36640210000041,91.66601690000971,91.8667024000024,left,-1.0,1,1,0.49856520000321325,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
81,0.5,1.0,91.88283339999907,,91.86698820001038,91.88283339999907,92.3829917999974,92.3663033000048,92.3663033000048,92.66622400000051,92.76661990000866,right,1.0,1,1,0.39821389999997336,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
82,0.5,1.0,92.78267480000795,,92.76693779999914,92.78267480000795,93.28302689999691,93.26629949999915,93.26629949999915,,93.50038209999911,left,-1.0,1,1,0.22381250000034925,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
83,0.5,1.0,93.51610900000378,,93.50072789999831,93.51610900000378,94.01616660000582,93.99964930000715,93.99964930000715,94.29951150000852,94.40003350000188,right,1.0,1,1,0.39524579999851994,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
84,0.5,1.0,94.4160380000103,,94.4003195999976,94.4160380000103,94.91616999999678,94.89952420000918,94.89952420000918,95.19953150000947,95.53293240000494,right,1.0,1,1,0.6194527000043308,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
85,0.5,1.0,95.54932679999911,,95.53308550000656,95.54932679999911,96.04940170000191,96.03276729999925,96.03276729999925,96.33275990000402,96.51654890000646,right,1.0,1,1,0.476929199998267,1,001,2025-09-03_11h47.19.107,adaptive__staircase,,2025.1.1,59.988974028165956,2025-09-03 11h47.29.033249 +0530,
